timestamp,date,lon,lat
1620986293,Fri May 14 12:58:13 2021,37.64749188862976,55.75304422272955
1620986294,Fri May 14 12:58:14 2021,37.64752303360888,55.753066376514354
1620986295,Fri May 14 12:58:15 2021,37.64757080955432,55.75311584746701
1620986296,Fri May 14 12:58:16 2021,37.64760797570858,55.75316720513935
1620986297,Fri May 14 12:58:17 2021,37.64764028328018,55.75322029932892
1620986298,Fri May 14 12:58:18 2021,37.64768542346891,55.75329974771776
1620986299,Fri May 14 12:58:19 2021,37.647730034151294,55.753380147765135
1620986300,Fri May 14 12:58:20 2021,37.64777460766576,55.75345986930738
1620986301,Fri May 14 12:58:21 2021,37.64781894838316,55.75354013847686
1620986302,Fri May 14 12:58:22 2021,37.64786348148857,55.75362085425259
1620986303,Fri May 14 12:58:23 2021,37.64792256431974,55.75372809092138
1620986304,Fri May 14 12:58:24 2021,37.64796701739824,55.75380846006909
1620986305,Fri May 14 12:58:25 2021,37.64802561786278,55.75391509121722
1620986306,Fri May 14 12:58:26 2021,37.64808455938167,55.75402217757963
1620986307,Fri May 14 12:58:27 2021,37.64814334173405,55.75412866082807
1620986308,Fri May 14 12:58:28 2021,37.64820205814216,55.75423555706288
1620986309,Fri May 14 12:58:29 2021,37.64826081015355,55.754342129520616
1620986310,Fri May 14 12:58:30 2021,37.648304419941375,55.754422034965145
1620986311,Fri May 14 12:58:31 2021,37.64836021131287,55.75453090163235
1620986312,Fri May 14 12:58:32 2021,37.64840002224478,55.75461061661883
1620986313,Fri May 14 12:58:33 2021,37.648454584913694,55.75471876422931
1620986314,Fri May 14 12:58:34 2021,37.64850843675425,55.7548252839278
1620986315,Fri May 14 12:58:35 2021,37.64854632660123,55.75490520320688
1620986316,Fri May 14 12:58:36 2021,37.6485810806026,55.75498413348766
1620986317,Fri May 14 12:58:37 2021,37.64860295786257,55.75503652107505
1620986319,Fri May 14 12:58:39 2021,37.64862403091893,55.75508851917995
1620986321,Fri May 14 12:58:41 2021,37.64863516048728,55.75511599504262
1620986322,Fri May 14 12:58:42 2021,37.64864567959897,55.75514370570188
1620986323,Fri May 14 12:58:43 2021,37.6486550768845,55.75517144902968
1620986324,Fri May 14 12:58:44 2021,37.648670703079816,55.7552264477573
1620986325,Fri May 14 12:58:45 2021,37.64868488767001,55.75528128970591
1620986326,Fri May 14 12:58:46 2021,37.64869861029197,55.75533642298889
1620986327,Fri May 14 12:58:47 2021,37.64871918182623,55.755419703357646
1620986328,Fri May 14 12:58:48 2021,37.64872998729435,55.755475873017645
1620986329,Fri May 14 12:58:49 2021,37.64874382832585,55.75555954899537
1620986330,Fri May 14 12:58:50 2021,37.64875767033206,55.75564246018635
1620986331,Fri May 14 12:58:51 2021,37.64876107742895,55.7557260665186
1620986332,Fri May 14 12:58:52 2021,37.64875306760853,55.75580946265302
1620986333,Fri May 14 12:58:53 2021,37.64873555078751,55.75589267665606
1620986334,Fri May 14 12:58:54 2021,37.64869344552282,55.75600101758828
1620986335,Fri May 14 12:58:55 2021,37.64864746388647,55.75607963350672
1620986336,Fri May 14 12:58:56 2021,37.64861250994282,55.756130600281054
1620986337,Fri May 14 12:58:57 2021,37.64857436689577,55.7561794901526
1620986340,Fri May 14 12:59:00 2021,37.64855360501033,55.756204467205606
1620986341,Fri May 14 12:59:01 2021,37.64853221867892,55.75623009585285
1620986342,Fri May 14 12:59:02 2021,37.64851083887285,55.75625556783679
1620986343,Fri May 14 12:59:03 2021,37.648467903407656,55.75630593046744
1620986344,Fri May 14 12:59:04 2021,37.64842376352151,55.75635598870145
1620986345,Fri May 14 12:59:05 2021,37.64835722794391,55.75643070400165
1620986346,Fri May 14 12:59:06 2021,37.64831269272455,55.75648048526792
1620986347,Fri May 14 12:59:07 2021,37.64824326870683,55.75655457903082
1620986348,Fri May 14 12:59:08 2021,37.648169500620654,55.75662794883621
1620986349,Fri May 14 12:59:09 2021,37.64809713594956,55.75670193834104
1620986350,Fri May 14 12:59:10 2021,37.64802629237424,55.75677698362549
1620986351,Fri May 14 12:59:11 2021,37.64793577770642,55.7568767565368
1620986352,Fri May 14 12:59:12 2021,37.64784620929147,55.7569764884871
1620986353,Fri May 14 12:59:13 2021,37.64777833082761,55.75705241544994
1620986354,Fri May 14 12:59:14 2021,37.64768653907508,55.757153906580285
1620986355,Fri May 14 12:59:15 2021,37.64759656398599,55.75725309289987
1620986356,Fri May 14 12:59:16 2021,37.64752926526268,55.75732719774157
1620986357,Fri May 14 12:59:17 2021,37.64744036597465,55.75742600223439
1620986358,Fri May 14 12:59:18 2021,37.64735138393611,55.75752637714613
1620986359,Fri May 14 12:59:19 2021,37.64728489161091,55.75760190572088
1620986360,Fri May 14 12:59:20 2021,37.64720008647487,55.75770255608473
1620986361,Fri May 14 12:59:21 2021,37.64714323533196,55.757780003017935
1620986362,Fri May 14 12:59:22 2021,37.647095256495824,55.7578596477736
1620986363,Fri May 14 12:59:23 2021,37.647055011362006,55.75794056552496
1620986364,Fri May 14 12:59:24 2021,37.647010122259815,55.758048785922334
1620986365,Fri May 14 12:59:25 2021,37.646978370043385,55.75813110861627
1620986366,Fri May 14 12:59:26 2021,37.64694672647419,55.75821236399219
1620986367,Fri May 14 12:59:27 2021,37.64690218474568,55.75832105153737
1620986368,Fri May 14 12:59:28 2021,37.6468663781711,55.75840237665183
1620986369,Fri May 14 12:59:29 2021,37.64682879566225,55.75848359661619
1620986370,Fri May 14 12:59:30 2021,37.64678957426663,55.758564480786056
1620986371,Fri May 14 12:59:31 2021,37.6467479123473,55.758643842532464
